"","factor","gdppc.gap.ln_l","AME","SE","z","p","lower","upper","model"
"2308","gdppc.gap.ln_l",11.391464547108,-0.0602102733830729,0.0136893866013616,-4.39831784552596,1.09093132670908e-05,-0.0870409780921869,-0.0333795686739589,"nearest"
"2309","gdppc.gap.ln_l",11.591464547108,-0.0504068525209677,0.0159618620079615,-3.15795566305645,0.00158879720018419,-0.0816915271827708,-0.0191221778591653,"nearest"
"2310","gdppc.gap.ln_l",11.791464547108,-0.0411100023145252,0.017289473062795,-2.37774755570714,0.0174187463928458,-0.0749967468292788,-0.00722325779977164,"nearest"
"2311","gdppc.gap.ln_l",5.99146454710798,0.0796905498934006,0.0144167537911024,5.52763479546853,3.24576826443924e-08,0.0514342316888579,0.107946868097942,"optimal"
"2312","gdppc.gap.ln_l",6.19146454710798,0.0877814498598642,0.0129334558201329,6.78716122594388,1.14361387380787e-11,0.0624323422567626,0.113130557462963,"optimal"
"2313","gdppc.gap.ln_l",6.39146454710798,0.093871104487305,0.0160683730381223,5.84197941288737,5.1584182547125e-09,0.0623776720424314,0.12536453693218,"optimal"
"2314","gdppc.gap.ln_l",6.59146454710798,0.0973846373908529,0.0218494996298032,4.45706487749578,8.30894626578351e-06,0.0545604050362174,0.140208869745488,"optimal"
"2315","gdppc.gap.ln_l",6.79146454710798,0.0979220820815715,0.0277851414581643,3.52426069987844,0.000424666205246987,0.0434642055182198,0.152379958644925,"optimal"
"2316","gdppc.gap.ln_l",6.99146454710798,0.0952963781402694,0.0325558951938812,2.92716196476084,0.00342070689723534,0.031487996075801,0.159104760204737,"optimal"
"2317","gdppc.gap.ln_l",7.19146454710798,0.0895357626089174,0.0355493178257399,2.51863518303825,0.0117810650296275,0.0198603799954999,0.159211145222336,"optimal"
"2318","gdppc.gap.ln_l",7.39146454710798,0.0808551250548913,0.0365595964331511,2.21159785510035,0.0269944637630626,0.00919963275659537,0.152510617353186,"optimal"
"2319","gdppc.gap.ln_l",7.59146454710798,0.0696081122149299,0.035686143597099,1.95056414615191,0.0511089157700704,-0.00033544398250912,0.139551668412368,"optimal"
"2320","gdppc.gap.ln_l",7.79146454710798,0.0562340932015723,0.033238105942419,1.69185612739159,0.0906734088179363,-0.00891139735989606,0.12137958376304,"optimal"
"2321","gdppc.gap.ln_l",7.99146454710798,0.0412119074729942,0.0296923966655929,1.38796163668222,0.16514872729813,-0.0169841206062445,0.0994079355522341,"optimal"
"2322","gdppc.gap.ln_l",8.19146454710798,0.0250275722747133,0.0256620933448668,0.975273994150583,0.32942436675512,-0.0252692064491308,0.075324350998557,"optimal"
"2323","gdppc.gap.ln_l",8.39146454710798,0.00815798541771696,0.0219577911551236,0.371530331083115,0.710242569052795,-0.0348784944263774,0.0511944652618113,"optimal"
"2324","gdppc.gap.ln_l",8.59146454710798,-0.00893146396856795,0.0195927750221223,-0.455854975034593,0.648494268646419,-0.0473325973691237,0.0294696694319876,"optimal"
"2325","gdppc.gap.ln_l",8.79146454710798,-0.0257801117986487,0.0194078633268691,-1.32833333399239,0.18406801228454,-0.0638188249361875,0.0122586013388909,"optimal"
"2326","gdppc.gap.ln_l",8.99146454710798,-0.0419221456674349,0.0213075602793177,-1.96747751116897,0.0491281860827086,-0.0836841964133139,-0.00016009492155613,"optimal"
"2327","gdppc.gap.ln_l",9.19146454710798,-0.0568801118875339,0.0243022853967642,-2.34052522052545,0.0192566377591826,-0.104511716007205,-0.00924850776786246,"optimal"
"2328","gdppc.gap.ln_l",9.39146454710798,-0.0701678479523111,0.027308333816964,-2.56946646480214,0.0101855249654869,-0.123691198711358,-0.0166444971932652,"optimal"
"2329","gdppc.gap.ln_l",9.59146454710798,-0.0813074861144602,0.0295051896727386,-2.75570118397118,0.0058566474730451,-0.139136595230052,-0.0234783769988701,"optimal"
"2330","gdppc.gap.ln_l",9.79146454710798,-0.0898624598578553,0.030340870513781,-2.96176274233923,0.00305883388525899,-0.149329473324459,-0.0303954463912511,"optimal"
"2331","gdppc.gap.ln_l",9.99146454710798,-0.0954842591930704,0.0295010504580299,-3.23663929624853,0.00120946182004884,-0.153305255596908,-0.0376632627892335,"optimal"
"2332","gdppc.gap.ln_l",10.191464547108,-0.0979655197261982,0.0269350418646594,-3.63710293150632,0.000275721768671981,-0.150757231703008,-0.0451738077493856,"optimal"
"2333","gdppc.gap.ln_l",10.391464547108,-0.0972873511244961,0.0228986447834851,-4.24860737586799,2.15103538523031e-05,-0.142167870194901,-0.0524068320540877,"optimal"
