"","factor","gdppc.gap.ln_l","AME","SE","z","p","lower","upper","model"
"2287","gdppc.gap.ln_l",7.19146454710798,0.124258785900619,0.040353333301282,3.07926943662598,0.00207508919451143,0.0451677059739674,0.203349865827274,"nearest"
"2288","gdppc.gap.ln_l",7.39146454710798,0.113200302285955,0.039635006589499,2.85606871365948,0.0042892229573831,0.0355171168435305,0.190883487728382,"nearest"
"2289","gdppc.gap.ln_l",7.59146454710798,0.099635059490738,0.0371707516238409,2.68046932434999,0.00735190024735084,0.0267817250297254,0.172488393951749,"nearest"
"2290","gdppc.gap.ln_l",7.79146454710798,0.0841128593373621,0.0334627427930551,2.51362716611559,0.0119496688097988,0.0185270886390459,0.149698630035676,"nearest"
"2291","gdppc.gap.ln_l",7.99146454710798,0.0671405350529846,0.0290765942148323,2.30909213633884,0.0209384690356866,0.0101514575988282,0.124129612507142,"nearest"
"2292","gdppc.gap.ln_l",8.19146454710798,0.0491528009275935,0.0246567414545902,1.99348324344144,0.0462085566142885,0.000826475700481347,0.0974791261547063,"nearest"
"2293","gdppc.gap.ln_l",8.39146454710798,0.0305052968648271,0.0210027798650856,1.45244091785861,0.146379045924993,-0.0106593952459634,0.0716699889756181,"nearest"
"2294","gdppc.gap.ln_l",8.59146454710798,0.0114848473445426,0.0190969298019409,0.601397578755057,0.547575210960557,-0.0259444472825514,0.0489141419716363,"nearest"
"2295","gdppc.gap.ln_l",8.79146454710798,-0.00766865334605643,0.0196726795327895,-0.389812345251427,0.696675314316233,-0.0462263967097221,0.0308890900176093,"nearest"
"2296","gdppc.gap.ln_l",8.99146454710798,-0.0267337609540544,0.0225224418271495,-1.18698323917207,0.23523423179602,-0.0708769357791659,0.0174094138710572,"nearest"
"2297","gdppc.gap.ln_l",9.19146454710798,-0.0454766654002171,0.0267381969516289,-1.70081271682183,0.0889781605551422,-0.0978825684369478,0.00692923763651482,"nearest"
"2298","gdppc.gap.ln_l",9.39146454710798,-0.0636219251084947,0.0314460171793228,-2.02321091239272,0.0430514070880319,-0.125254986237195,-0.00198886397979389,"nearest"
"2299","gdppc.gap.ln_l",9.59146454710798,-0.0808288916522193,0.0359419046395094,-2.24887613672447,0.0245203776303323,-0.15127373028143,-0.0103840530230072,"nearest"
"2300","gdppc.gap.ln_l",9.79146454710798,-0.0966786942032795,0.0396596619960577,-2.4377084760049,0.014780688604761,-0.174410203354583,-0.0189471850519731,"nearest"
"2301","gdppc.gap.ln_l",9.99146454710798,-0.110677319859561,0.0420444974375032,-2.63238536800391,0.00847876297808648,-0.193083020585155,-0.028271619133969,"nearest"
"2302","gdppc.gap.ln_l",10.191464547108,-0.122280036478058,0.0426145402969415,-2.86944398850723,0.00411194153280822,-0.205803000677795,-0.0387570722783226,"nearest"
"2303","gdppc.gap.ln_l",10.391464547108,-0.130940102213313,0.0409669116723726,-3.1962404991738,0.00139231005833466,-0.211233773648999,-0.050646430777631,"nearest"
"2304","gdppc.gap.ln_l",10.591464547108,-0.136179658793517,0.0369450075086955,-3.68600977443205,0.000227797605420441,-0.208590542919124,-0.0637687746679138,"nearest"
"2305","gdppc.gap.ln_l",10.791464547108,-0.13767326681241,0.0307439710652809,-4.47805738953105,7.53253538789286e-06,-0.197930342842102,-0.0774161907827181,"nearest"
"2306","gdppc.gap.ln_l",10.991464547108,-0.135326801206167,0.0230638574538583,-5.86748341975763,4.42459236632519e-09,-0.180531131160294,-0.0901224712520376,"nearest"
"2307","gdppc.gap.ln_l",11.191464547108,-0.12933003819036,0.0156884170767452,-8.2436639437681,1.67015817565101e-16,-0.160078770635224,-0.0985813057454969,"nearest"
"2308","gdppc.gap.ln_l",11.391464547108,-0.120163890551871,0.0127706308954358,-9.40939343841011,4.99008216688784e-21,-0.145193867166779,-0.0951339139369612,"nearest"
"2309","gdppc.gap.ln_l",11.591464547108,-0.108554028759943,0.0167174941876673,-6.49343900116474,8.38987456941124e-11,-0.141319715279527,-0.0757883422403559,"nearest"
"2310","gdppc.gap.ln_l",11.791464547108,-0.0953784191711967,0.0227829237128866,-4.18639944430171,2.83414405148123e-05,-0.140032129110979,-0.050724709231416,"nearest"
"2311","gdppc.gap.ln_l",5.99146454710798,0.118483402926124,0.013124119647517,9.02791243209524,1.74977765659266e-19,0.0927606010881942,0.14420620476405,"optimal"
"2312","gdppc.gap.ln_l",6.19146454710798,0.128708763804051,0.0153263984992914,8.39784792298082,4.54735588310051e-17,0.0986695747327323,0.158747952875372,"optimal"
"2313","gdppc.gap.ln_l",6.39146454710798,0.135845048322628,0.021933047577653,6.19362392944593,5.87964185399142e-10,0.092857064999223,0.17883303164603,"optimal"
"2314","gdppc.gap.ln_l",6.59146454710798,0.139308481605191,0.0291313644251528,4.78207884711738,1.73491598435679e-06,0.0822120565113829,0.196404906699005,"optimal"
